PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),AQI
40.22,50.27,286.67,2.07,42.13,0.84,0.9,49
56.86,71.07,,2.71,45.2,1.82,1.12,86
46.58,58.23,4,2.6,35.37,0.91,2.46,67
71.21,89.02,1.37,2.51,21.89,0.62,2.62,80
70.31,87.89,1.26,2.24,21.95,0.33,4.07,124
76.22,95.28,1.27,2.74,21.87,0.98,4.32,108
75.74,94.68,1.28,2.9,21.81,1.14,3.67,133
66.07,81.58,1.27,2.78,23.06,0.89,1.88,117
51.47,61.75,1.31,2.88,23.08,0.48,1.85,79
49.52,59.42,1.17,2.54,27.01,0.48,2.93,76
44.21,53.03,1.17,2.82,30.02,0.48,1.99,70
36.05,43.25,1.24,2.57,25.34,0.53,2.03,60
40.19,48.23,1.15,2.86,36.12,0.54,1.25,54
46.86,56.23,1.2,3.37,37.84,0.76,1.55,64
54.36,65.23,1.22,3.05,28.9,1.15,2.68,86
57.17,68.61,1.33,3.13,21.4,1.17,2.75,89
55.9,67.08,1.2,2.48,25.73,1.37,2.93,78
49.68,59.62,1.13,3.53,30.92,0.73,2.17,85
59.92,71.9,1.32,2.89,21.4,0.63,2.82,106
43.84,52.62,1.26,2.74,21.43,0.43,3.6,80
50.02,60.02,1.31,2.59,21.37,0.44,3.79,82
66.56,79.88,1.29,3.03,21.36,1.01,2.61,108
68.4,82.08,1.28,2.92,21.33,1.41,2.37,114
76.11,91.33,1.3,2.81,21.43,0.89,3.61,124
66.52,79.82,1.23,3.15,24.41,0.86,3.56,118
74.87,89.84,1.13,4.31,30.17,0.99,2.43,114
95.27,114.33,1.23,4.07,25.42,1.73,2.27,135
79.14,94.96,1.31,3.05,21.24,1.56,2.9,132
37.99,50.03,1.32,3.05,21.35,0.79,3.91,82
33.46,44.62,1.34,2.81,21.32,0.64,3.79,66
42.61,56.82,1.28,2.64,21.36,0.98,2.92,84
42.08,56.11,1.27,2.99,21.47,1.49,2.39,67
50.97,67.96,1.26,2.55,21.31,2.04,2.55,80
46.03,61.38,1.29,3,21.27,1.68,2.58,78
59.48,79.31,1.33,2.95,21.36,1.53,2.72,77
52.06,80.97,1.23,3.11,21.97,2.12,3.77,76
53.11,82.06,1.28,2.97,21.43,2.22,3.08,95
