PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),AQI
21.01,38.9,2.89,3.01,5.63,1.91,21.28,0.28,1.52,0.05,45
35.74,66.18,2.02,1.27,4.13,1.89,22.56,0.42,2.09,0.09,62
38.56,71.41,2.04,1.22,4.11,2.14,22.39,0.45,4.26,0.09,59
45.52,84.3,2.04,1.29,4.02,2.15,21.34,0.4,3.71,0.08,100
34.4,63.7,2.06,3.15,4.19,1.85,21.45,0.18,3.61,0.04,67
30.36,56.23,17.03,9.98,21.15,1.93,21.34,0.25,2.94,0.05,52
33.08,61.26,2.08,1.26,4.22,2.18,21.27,0.33,2.56,0.07,57
35.79,66.27,2.1,1.21,4.2,2.06,21.3,0.28,3.17,0.06,67
39.44,73.04,2.07,1.28,4.22,2.2,21.27,0.37,2.52,0.07,75
27.47,50.87,2.07,1.25,4.19,2.05,21.3,0.28,3.33,0.06,43
44.81,82.98,2.05,1.29,4.21,2.13,21.36,0.48,3.81,0.1,81
46.51,86.12,2.07,1.26,4.21,2.08,21.37,0.55,3.1,0.11,88
34.01,62.98,2.07,1.22,4.17,2.08,21.4,0.35,3.28,0.07,63
22.81,42.24,2,1.21,4.06,1.89,22.64,0.18,2.51,0.04,47
24.24,44.89,7.34,6.46,7.18,1.99,23.84,0.21,1.89,0.04,45
31.86,59,18.83,18.21,10.99,2.16,23.49,0.39,1.36,0.08,57
35.23,65.25,2.02,1.23,4.1,1.88,23.29,0.1,2.35,0.02,58
34.24,63.4,2.02,1.19,4.05,1.8,23.29,0.05,3.12,0.01,78
32.13,59.51,2.03,1.21,4.08,1.89,23.1,0.19,2.54,0.04,74
35.51,65.76,2.01,1.21,4.06,1.97,23.32,0.28,2.2,0.06,68
22.21,41.13,2,1.18,4.02,1.64,24.93,0.11,2.43,0.02,51
37.94,70.26,2.02,1.22,4.09,2.03,23.79,0.36,1.91,0.07,63
39.02,72.27,2.02,1.19,4.05,1.99,23.26,0.17,2.59,0.03,73
,,2.03,1.28,4.16,2.08,22.28,0.24,2.99,0.05,69
40.59,75.16,2.03,1.2,4.08,2.12,23.37,0.25,2.91,0.05,86
33.41,61.87,2.02,1.2,4.07,1.94,23.43,0.15,3.53,0.03,83
35.63,65.97,2.02,1.23,4.1,2.14,23.61,0.32,3.52,0.06,86
39.47,73.09,1.98,1.18,3.99,2.15,23.78,0.36,3.02,0.07,90
25.29,46.83,1.97,1.24,4.03,2.03,23.65,0.23,2.49,0.05,130
14.16,26.22,2.03,1.21,4.09,1.89,23.51,0.24,1.56,0.05,34
24.49,45.34,25.22,12.3,31.01,1.79,24.99,0.46,1.44,0.09,33
22.63,41.91,2,1.22,4.04,1.92,23.68,0.32,1.24,0.06,48
20.22,37.46,16.78,6.08,14.46,1.82,23.66,0.23,1.7,0.05,36
24.27,44.95,2.03,1.26,4.13,1.81,23.59,0.25,1.91,0.05,48
32.23,59.69,1.98,1.29,4.08,1.85,23.68,0.17,3.08,0.03,52
49.59,91.83,2,1.24,4.08,1.94,23.46,0.17,4.16,0.04,94
59.14,109.5,11.9,16.51,8.86,2.1,23.84,0.35,4.41,0.07,111
55.33,102.46,1.98,1.37,4.16,2.26,23.61,0.42,3.26,0.08,119
62.08,114.97,2.03,1.22,4.11,2.57,23.42,0.63,2.67,0.13,94
